trip_id,vehicle_id,started_at,completed_at,pickup_zone,dropoff_zone,distance_miles,duration_seconds,delivery_status,fare_amount
T000028,V031,2026-09-06T20:42:00+00:00,2026-09-06T21:39:33+00:00,west,south,2.15,3453,in_progress,30.29
T000029,V030,2026-09-10T23:19:00+00:00,2026-09-10T23:51:03+00:00,north,north,1.56,1923,in_progress,24.7
T000030,V013,2026-09-03T19:40:00+00:00,2026-09-03T20:00:58+00:00,south,central,8.35,1258,cancelled,15.19
T000031,V005,2026-09-11T20:39:00+00:00,2026-09-11T21:00:03+00:00,west,central,2.21,1263,in_progress,64.96
T000032,V016,2026-09-01T16:03:00+00:00,2026-09-01T16:13:22+00:00,south,west,9.0,622,completed,56.74
T000033,V025,2026-09-02T16:01:00+00:00,2026-09-02T16:16:14+00:00,north,west,5.14,914,cancelled,21.4
T000034,V032,2026-09-13T23:31:00+00:00,2026-09-14T00:20:11+00:00,south,south,5.69,2951,completed,39.33
T000035,V021,2026-09-13T16:06:00+00:00,2026-09-13T16:14:09+00:00,north,north,10.72,489,in_progress,60.08
T000036,V004,2026-09-13T10:03:00+00:00,2026-09-13T10:17:44+00:00,central,north,15.4,884,completed,40.3
T000037,V008,2026-09-06T16:27:00+00:00,2026-09-06T16:58:33+00:00,central,south,10.63,1893,completed,41.78
T000038,V038,2026-09-10T20:57:00+00:00,2026-09-10T21:45:52+00:00,central,central,6.04,2932,cancelled,16.46
T000039,V017,2026-09-08T11:35:00+00:00,2026-09-08T11:55:17+00:00,west,south,12.25,1217,cancelled,31.89
T000040,V030,2026-09-02T23:37:00+00:00,2026-09-02T23:41:38+00:00,central,central,17.93,278,completed,36.8
T000041,V009,2026-09-12T20:16:00+00:00,2026-09-12T20:38:06+00:00,east,north,15.89,1326,cancelled,21.38
T000042,V020,2026-09-11T07:18:00+00:00,2026-09-11T07:59:05+00:00,central,central,0.64,2465,in_progress,22.26
T000043,V017,2026-09-03T16:34:00+00:00,2026-09-03T16:47:10+00:00,north,north,13.49,790,completed,20.61
T000044,V022,2026-09-15T02:19:00+00:00,2026-09-15T02:37:22+00:00,south,east,9.34,1102,cancelled,59.23
T000045,V028,2026-09-02T11:44:00+00:00,2026-09-02T11:54:18+00:00,east,north,0.56,618,completed,42.86
T000046,V029,2026-09-07T07:03:00+00:00,2026-09-07T07:18:01+00:00,central,west,10.32,901,completed,8.59
T000047,V003,2026-09-04T17:24:00+00:00,2026-09-04T18:05:14+00:00,east,central,10.17,2474,cancelled,11.77
T000048,V003,2026-09-08T08:21:00+00:00,2026-09-08T08:49:53+00:00,east,south,12.44,1733,in_progress,10.27
T000049,V040,2026-09-14T01:46:00+00:00,2026-09-14T02:17:44+00:00,south,south,15.63,1904,completed,57.77
T000050,V022,2026-09-01T21:32:00+00:00,2026-09-01T21:48:14+00:00,west,south,5.17,974,in_progress,10.59
T000051,V015,2026-09-02T05:08:00+00:00,2026-09-02T05:44:07+00:00,south,west,6.62,2167,completed,17.6
T000052,V022,2026-09-05T17:28:00+00:00,2026-09-05T17:59:12+00:00,east,north,17.42,1872,cancelled,25.42
T000053,V035,2026-09-12T22:12:00+00:00,2026-09-12T22:43:17+00:00,east,north,2.52,1877,cancelled,14.89
T000054,V007,2026-09-07T08:58:00+00:00,2026-09-07T09:04:36+00:00,central,west,6.55,396,cancelled,30.62
T000055,V025,2026-09-12T23:18:00+00:00,2026-09-12T23:29:53+00:00,central,south,4.96,713,in_progress,30.6
T000056,V035,2026-09-13T03:56:00+00:00,2026-09-13T04:55:03+00:00,south,east,8.05,3543,in_progress,60.17
T000057,V008,2026-09-08T11:26:00+00:00,2026-09-08T12:15:17+00:00,east,central,5.91,2957,cancelled,23.9
T000058,V009,2026-09-08T01:28:00+00:00,2026-09-08T02:09:50+00:00,south,west,12.14,2510,cancelled,45.32
T000059,V037,2026-09-05T07:02:00+00:00,2026-09-05T07:48:01+00:00,east,west,10.09,2761,completed,22.54
T000060,V038,2026-09-06T02:47:00+00:00,2026-09-06T03:20:20+00:00,central,east,8.64,2000,cancelled,45.21
T000061,V011,2026-09-12T23:10:00+00:00,2026-09-12T23:46:18+00:00,north,east,9.52,2178,in_progress,41.77
T000062,V016,2026-09-03T11:00:00+00:00,2026-09-03T11:59:52+00:00,east,south,14.61,3592,completed,5.49
T000063,V040,2026-09-06T21:43:00+00:00,2026-09-06T22:19:26+00:00,north,west,7.75,2186,in_progress,39.12
T000064,V026,2026-09-10T01:42:00+00:00,2026-09-10T02:19:44+00:00,south,south,11.98,2264,completed,58.45
T000065,V028,2026-09-03T18:12:00+00:00,2026-09-03T19:09:08+00:00,south,south,14.57,3428,in_progress,35.6
T000066,V016,2026-09-02T11:25:00+00:00,2026-09-02T12:07:03+00:00,north,west,2.83,2523,cancelled,44.72
T000067,V021,2026-09-14T01:14:00+00:00,2026-09-14T01:58:38+00:00,west,central,14.76,2678,in_progress,30.03
T000068,V011,2026-09-13T19:12:00+00:00,2026-09-13T19:46:26+00:00,west,west,5.04,2066,completed,55.23
T000069,V034,2026-09-07T15:26:00+00:00,2026-09-07T16:22:16+00:00,west,south,5.31,3376,completed,47.53
T000070,V022,2026-09-06T16:03:00+00:00,2026-09-06T16:25:32+00:00,east,central,1.91,1352,completed,18.11
T000071,V014,2026-09-04T19:27:00+00:00,2026-09-04T20:19:13+00:00,north,west,7.63,3133,in_progress,32.42
T000072,V027,2026-09-02T18:00:00+00:00,2026-09-02T18:18:07+00:00,west,central,17.06,1087,completed,56.26
T000073,V031,2026-09-14T10:24:00+00:00,2026-09-14T10:53:58+00:00,north,east,5.73,1798,cancelled,56.06
T000074,V035,2026-09-10T20:50:00+00:00,2026-09-10T21:30:44+00:00,central,south,9.04,2444,cancelled,30.59
T000075,V022,2026-09-01T23:51:00+00:00,2026-09-02T00:21:32+00:00,west,south,15.21,1832,completed,63.82
T000076,V026,2026-09-13T11:42:00+00:00,2026-09-13T11:47:50+00:00,central,central,12.1,350,completed,43.21
T000077,V012,2026-09-04T10:06:00+00:00,2026-09-04T10:41:31+00:00,north,east,7.13,2131,completed,31.74
T000078,V025,2026-09-09T00:19:00+00:00,2026-09-09T01:14:57+00:00,east,west,4.91,3357,completed,32.69
T000079,V023,2026-09-13T14:35:00+00:00,2026-09-13T14:42:33+00:00,south,north,14.17,453,in_progress,6.46
T000080,V013,2026-09-02T00:56:00+00:00,2026-09-02T01:16:52+00:00,north,central,3.17,1252,completed,32.89
T000081,V014,2026-09-03T22:28:00+00:00,2026-09-03T23:10:30+00:00,west,east,13.92,2550,completed,40.96
T000082,V011,2026-09-03T22:33:00+00:00,2026-09-03T23:30:05+00:00,east,north,10.63,3425,cancelled,39.12
T000083,V013,2026-09-09T20:58:00+00:00,2026-09-09T21:29:04+00:00,north,central,12.59,1864,in_progress,18.81
T000084,V039,2026-09-08T04:42:00+00:00,2026-09-08T05:32:42+00:00,north,central,14.2,3042,cancelled,36.5
T000085,V033,2026-09-09T18:22:00+00:00,2026-09-09T18:30:42+00:00,east,north,15.37,522,cancelled,10.44
T000086,V030,2026-09-09T13:48:00+00:00,2026-09-09T14:35:23+00:00,south,west,3.58,2843,in_progress,62.89
T000087,V035,2026-09-07T11:30:00+00:00,2026-09-07T12:16:02+00:00,west,west,8.12,2762,in_progress,40.14
T000088,V006,2026-09-08T16:01:00+00:00,2026-09-08T16:21:45+00:00,east,west,4.77,1245,cancelled,38.76
T000089,V002,2026-09-09T22:58:00+00:00,2026-09-09T23:24:57+00:00,west,east,3.68,1617,completed,25.64
T000090,V018,2026-09-07T05:05:00+00:00,2026-09-07T05:32:14+00:00,central,east,10.23,1634,in_progress,61.83
T000091,V027,2026-09-03T06:45:00+00:00,2026-09-03T07:05:28+00:00,west,central,13.77,1228,in_progress,33.04
T000092,V002,2026-09-12T12:03:00+00:00,2026-09-12T12:37:35+00:00,north,east,4.38,2075,in_progress,18.84
T000093,V031,2026-09-14T13:36:00+00:00,2026-09-14T14:05:11+00:00,central,central,6.52,1751,in_progress,37.57
T000094,V030,2026-09-09T08:08:00+00:00,2026-09-09T08:59:58+00:00,east,east,4.9,3118,completed,48.0
T000095,V035,2026-09-08T12:19:00+00:00,2026-09-08T12:31:09+00:00,south,south,4.29,729,cancelled,20.87
T000096,V034,2026-09-14T17:59:00+00:00,2026-09-14T18:54:53+00:00,central,east,17.66,3353,completed,22.07
T000097,V020,2026-09-09T13:05:00+00:00,2026-09-09T13:21:14+00:00,north,central,2.72,974,completed,63.43
T000098,V009,2026-09-13T22:12:00+00:00,2026-09-13T22:35:56+00:00,west,north,15.77,1436,in_progress,21.34
T000099,V022,2026-09-12T05:26:00+00:00,2026-09-12T06:00:04+00:00,south,north,4.92,2044,cancelled,10.96
T000100,V032,2026-09-02T19:41:00+00:00,2026-09-02T20:12:21+00:00,north,central,11.52,1881,completed,13.26
T000101,V006,2026-09-14T03:23:00+00:00,2026-09-14T03:47:44+00:00,south,north,10.27,1484,cancelled,40.99
T000102,V034,2026-09-06T11:15:00+00:00,2026-09-06T12:11:57+00:00,west,west,16.4,3417,cancelled,56.47
T000103,V037,2026-09-11T02:11:00+00:00,2026-09-11T02:35:50+00:00,central,north,11.17,1490,in_progress,10.05
T000104,V014,2026-09-06T01:28:00+00:00,2026-09-06T02:14:42+00:00,east,north,3.25,2802,completed,37.67
T000105,V027,2026-09-04T21:29:00+00:00,2026-09-04T21:33:10+00:00,west,central,8.72,250,completed,18.12
T000106,V030,2026-09-07T18:24:00+00:00,2026-09-07T19:15:59+00:00,north,south,16.67,3119,in_progress,39.98
T000107,V008,2026-09-05T20:02:00+00:00,2026-09-05T20:35:01+00:00,central,south,11.83,1981,cancelled,54.42
T000108,V011,2026-09-02T22:59:00+00:00,2026-09-02T23:07:04+00:00,east,central,13.61,484,in_progress,60.19
T000109,V030,2026-09-11T07:50:00+00:00,2026-09-11T08:02:29+00:00,east,west,17.0,749,in_progress,36.94
T000110,V039,2026-09-11T07:04:00+00:00,2026-09-11T07:13:29+00:00,north,west,13.35,569,in_progress,19.27
T000111,V037,2026-09-03T09:52:00+00:00,2026-09-03T10:11:37+00:00,central,north,17.99,1177,in_progress,54.11
T000112,V012,2026-09-14T10:42:00+00:00,2026-09-14T10:48:44+00:00,west,central,11.9,404,cancelled,15.07
T000113,V032,2026-09-14T15:40:00+00:00,2026-09-14T16:13:45+00:00,north,west,6.59,2025,cancelled,23.58
T000114,V022,2026-09-03T17:07:00+00:00,2026-09-03T17:21:58+00:00,west,west,5.54,898,cancelled,53.63
T000115,V030,2026-09-13T20:25:00+00:00,2026-09-13T20:31:30+00:00,north,east,4.92,390,completed,63.18
T000116,V001,2026-09-10T12:44:00+00:00,2026-09-10T13:23:07+00:00,central,west,7.73,2347,completed,35.62
T000117,V029,2026-09-12T16:14:00+00:00,2026-09-12T17:00:41+00:00,north,south,5.17,2801,completed,60.59
T000118,V032,2026-09-11T07:16:00+00:00,2026-09-11T08:07:40+00:00,north,north,17.53,3100,in_progress,52.76
T000119,V036,2026-09-04T22:29:00+00:00,2026-09-04T22:54:12+00:00,north,central,7.64,1512,completed,64.53
T000120,V008,2026-09-03T21:57:00+00:00,2026-09-03T22:32:30+00:00,south,west,16.82,2130,cancelled,35.04
T000121,V031,2026-09-07T13:19:00+00:00,2026-09-07T13:51:21+00:00,west,south,8.49,1941,completed,27.4
T000122,V009,2026-09-14T23:20:00+00:00,2026-09-14T23:58:41+00:00,north,east,14.02,2321,cancelled,24.73
T000123,V001,2026-09-12T21:17:00+00:00,2026-09-12T21:39:14+00:00,east,east,15.16,1334,in_progress,64.93
T000124,V029,2026-09-12T11:24:00+00:00,2026-09-12T11:38:08+00:00,central,west,6.54,848,in_progress,50.54
T000125,V021,2026-09-09T22:00:00+00:00,2026-09-09T22:35:05+00:00,south,south,10.51,2105,completed,56.22
T000126,V021,2026-09-10T16:20:00+00:00,2026-09-10T16:26:58+00:00,west,west,7.26,418,in_progress,52.34
T000127,V003,2026-09-04T19:04:00+00:00,2026-09-04T19:41:48+00:00,south,central,17.39,2268,cancelled,57.05
T000128,V034,2026-09-11T08:27:00+00:00,2026-09-11T08:37:48+00:00,west,north,13.14,648,cancelled,57.13
T000129,V031,2026-09-04T20:18:00+00:00,2026-09-04T20:27:06+00:00,east,east,11.41,546,cancelled,43.64
T000130,V035,2026-09-08T19:26:00+00:00,2026-09-08T20:16:02+00:00,west,east,11.47,3002,cancelled,57.22
T000131,V005,2026-09-02T03:36:00+00:00,2026-09-02T04:22:09+00:00,south,east,17.95,2769,in_progress,9.51
T000132,V007,2026-09-03T13:45:00+00:00,2026-09-03T14:40:54+00:00,west,south,12.65,3354,completed,6.81
T000133,V023,2026-09-02T14:38:00+00:00,2026-09-02T15:02:01+00:00,east,west,3.05,1441,in_progress,29.14
T000134,V012,2026-09-05T10:20:00+00:00,2026-09-05T10:35:36+00:00,north,central,15.74,936,in_progress,45.67
T000135,V010,2026-09-12T15:47:00+00:00,2026-09-12T16:30:48+00:00,south,west,11.66,2628,cancelled,19.57
T000136,V030,2026-09-01T13:07:00+00:00,2026-09-01T14:05:55+00:00,east,central,3.26,3535,cancelled,61.66
T000137,V028,2026-09-14T16:53:00+00:00,2026-09-14T17:17:25+00:00,east,west,15.29,1465,completed,64.96
T000138,V016,2026-09-12T07:53:00+00:00,2026-09-12T08:04:16+00:00,west,central,6.78,676,cancelled,64.55
T000139,V026,2026-09-08T01:14:00+00:00,2026-09-08T01:19:29+00:00,east,north,10.4,329,in_progress,51.48
T000140,V032,2026-09-02T10:47:00+00:00,2026-09-02T11:32:23+00:00,east,south,11.12,2723,cancelled,17.36
T000141,V017,2026-09-05T15:50:00+00:00,2026-09-05T16:36:23+00:00,south,north,16.31,2783,in_progress,6.4
T000142,V038,2026-09-11T08:44:00+00:00,2026-09-11T08:50:16+00:00,east,south,2.08,376,cancelled,23.93
T000143,V013,2026-09-10T18:55:00+00:00,2026-09-10T19:10:59+00:00,south,central,15.84,959,cancelled,36.38
T000144,V017,2026-09-07T12:50:00+00:00,2026-09-07T13:05:13+00:00,west,east,13.56,913,cancelled,53.06
T000145,V010,2026-09-11T23:46:00+00:00,2026-09-11T23:55:08+00:00,south,west,17.43,548,in_progress,26.31
T000146,V017,2026-09-10T07:29:00+00:00,2026-09-10T07:33:57+00:00,central,north,8.46,297,in_progress,49.69
T000147,V025,2026-09-07T07:10:00+00:00,2026-09-07T07:53:54+00:00,east,north,12.31,2634,cancelled,5.53
T000148,V040,2026-09-14T02:36:00+00:00,2026-09-14T03:02:23+00:00,south,north,11.62,1583,cancelled,59.47
T000149,V027,2026-09-08T05:02:00+00:00,2026-09-08T05:50:19+00:00,north,south,1.29,2899,completed,22.57
T000150,V007,2026-09-12T13:02:00+00:00,2026-09-12T13:13:55+00:00,south,central,2.87,715,cancelled,26.63
T000151,V038,2026-09-13T15:01:00+00:00,2026-09-13T15:33:36+00:00,south,west,11.96,1956,cancelled,41.55
T000152,V024,2026-09-07T16:46:00+00:00,2026-09-07T16:52:14+00:00,south,west,8.28,374,completed,56.18
T000153,V024,2026-09-03T14:15:00+00:00,2026-09-03T15:05:48+00:00,central,east,1.56,3048,cancelled,15.58
T000154,V006,2026-09-04T02:42:00+00:00,2026-09-04T03:17:02+00:00,south,central,17.49,2102,completed,51.99
T000155,V037,2026-09-06T21:01:00+00:00,2026-09-06T21:13:35+00:00,south,north,15.02,755,in_progress,16.64
T000156,V015,2026-09-06T05:56:00+00:00,2026-09-06T06:55:30+00:00,east,south,14.3,3570,in_progress,4.17
T000157,V035,2026-09-04T15:01:00+00:00,2026-09-04T15:13:52+00:00,east,south,2.42,772,completed,12.04
T000158,V016,2026-09-09T11:38:00+00:00,2026-09-09T12:35:55+00:00,central,east,0.78,3475,cancelled,7.2
T000159,V008,2026-09-10T21:54:00+00:00,2026-09-10T22:33:54+00:00,north,west,8.34,2394,cancelled,35.31
T000160,V033,2026-09-03T19:33:00+00:00,2026-09-03T20:07:51+00:00,south,central,1.26,2091,in_progress,35.81
T000161,V002,2026-09-11T18:09:00+00:00,2026-09-11T18:56:55+00:00,north,west,15.33,2875,cancelled,45.85
T000162,V029,2026-09-12T11:45:00+00:00,2026-09-12T12:37:37+00:00,north,north,6.14,3157,completed,8.01
T000163,V038,2026-09-07T14:11:00+00:00,2026-09-07T14:57:37+00:00,central,east,7.17,2797,in_progress,36.36
T000164,V039,2026-09-11T15:47:00+00:00,2026-09-11T16:25:30+00:00,west,north,14.38,2310,completed,56.02
T000165,V014,2026-09-13T21:06:00+00:00,2026-09-13T21:59:12+00:00,west,west,16.04,3192,cancelled,24.67
T000166,V027,2026-09-11T15:40:00+00:00,2026-09-11T16:11:13+00:00,north,east,7.97,1873,in_progress,19.55
T000167,V031,2026-09-04T19:21:00+00:00,2026-09-04T20:11:53+00:00,north,north,15.06,3053,completed,30.34
T000168,V009,2026-09-09T19:30:00+00:00,2026-09-09T20:29:25+00:00,central,north,10.76,3565,in_progress,38.26
T000169,V023,2026-09-04T02:45:00+00:00,2026-09-04T03:17:02+00:00,west,north,17.45,1922,in_progress,23.06
T000170,V033,2026-09-03T16:34:00+00:00,2026-09-03T17:17:27+00:00,south,south,11.99,2607,completed,55.68
T000171,V024,2026-09-09T07:12:00+00:00,2026-09-09T07:53:58+00:00,north,east,10.55,2518,cancelled,55.55
T000172,V036,2026-09-15T07:05:00+00:00,2026-09-15T07:55:04+00:00,north,central,16.76,3004,in_progress,20.31
T000173,V020,2026-09-05T10:31:00+00:00,2026-09-05T10:53:39+00:00,east,east,0.61,1359,completed,38.55
T000174,V010,2026-09-10T10:52:00+00:00,2026-09-10T11:00:45+00:00,north,north,13.56,525,completed,26.95
T000175,V011,2026-09-11T15:45:00+00:00,2026-09-11T16:12:16+00:00,east,east,13.13,1636,in_progress,40.37
T000176,V011,2026-09-02T12:43:00+00:00,2026-09-02T12:57:37+00:00,central,north,12.29,877,cancelled,31.03
T000177,V039,2026-09-10T23:34:00+00:00,2026-09-11T00:11:09+00:00,west,west,5.28,2229,in_progress,10.94
T000178,V019,2026-09-11T02:47:00+00:00,2026-09-11T02:58:34+00:00,central,west,9.72,694,cancelled,6.77
T000179,V004,2026-09-10T07:51:00+00:00,2026-09-10T08:35:54+00:00,north,south,5.77,2694,completed,50.81
T000180,V021,2026-09-07T03:32:00+00:00,2026-09-07T03:55:45+00:00,north,north,9.2,1425,cancelled,14.72
T000181,V015,2026-09-09T23:38:00+00:00,2026-09-10T00:18:21+00:00,central,central,15.08,2421,cancelled,8.4
T000182,V002,2026-09-02T07:06:00+00:00,2026-09-02T07:39:46+00:00,west,north,15.59,2026,in_progress,30.19
T000183,V027,2026-09-10T12:52:00+00:00,2026-09-10T13:44:26+00:00,east,north,7.59,3146,cancelled,14.48
T000184,V024,2026-09-11T19:16:00+00:00,2026-09-11T20:07:04+00:00,north,west,15.28,3064,completed,30.58
T000185,V006,2026-09-10T10:41:00+00:00,2026-09-10T11:20:46+00:00,west,east,13.55,2386,completed,24.32
T000186,V033,2026-09-05T03:49:00+00:00,2026-09-05T03:58:12+00:00,north,central,9.42,552,cancelled,25.42
T000187,V007,2026-09-04T16:39:00+00:00,2026-09-04T16:59:07+00:00,south,east,3.95,1207,in_progress,13.33
T000188,V032,2026-09-03T01:09:00+00:00,2026-09-03T01:25:05+00:00,west,central,13.8,965,cancelled,45.55
T000189,V040,2026-09-14T04:17:00+00:00,2026-09-14T05:04:53+00:00,east,east,3.14,2873,completed,32.6
T000190,V018,2026-09-08T05:22:00+00:00,2026-09-08T06:20:21+00:00,central,north,6.66,3501,completed,22.93
T000191,V004,2026-09-11T14:48:00+00:00,2026-09-11T14:54:34+00:00,east,east,1.84,394,completed,41.52
T000192,V030,2026-09-12T20:55:00+00:00,2026-09-12T21:25:14+00:00,central,central,17.2,1814,in_progress,58.65
T000193,V037,2026-09-11T13:36:00+00:00,2026-09-11T14:35:17+00:00,south,east,11.09,3557,in_progress,13.2
T000194,V007,2026-09-02T17:47:00+00:00,2026-09-02T18:21:45+00:00,east,north,9.33,2085,completed,6.39
T000195,V034,2026-09-11T07:04:00+00:00,2026-09-11T07:37:59+00:00,central,central,3.28,2039,cancelled,59.99
T000196,V022,2026-09-10T03:34:00+00:00,2026-09-10T04:05:54+00:00,central,north,14.31,1914,in_progress,24.41
T000197,V036,2026-09-08T20:03:00+00:00,2026-09-08T20:13:27+00:00,west,east,4.91,627,in_progress,62.83
T000198,V022,2026-09-15T01:09:00+00:00,2026-09-15T01:23:15+00:00,north,central,12.11,855,cancelled,22.92
T000199,V039,2026-09-10T06:03:00+00:00,2026-09-10T06:15:48+00:00,north,east,10.28,768,in_progress,52.29
T000200,V034,2026-09-04T05:47:00+00:00,2026-09-04T06:36:44+00:00,north,west,9.4,2984,completed,26.12
T000201,V022,2026-09-05T10:26:00+00:00,2026-09-05T10:44:37+00:00,west,south,4.46,1117,completed,13.45
T000202,V007,2026-09-08T01:32:00+00:00,2026-09-08T02:29:48+00:00,central,central,15.11,3468,in_progress,6.3
T000203,V040,2026-09-08T23:55:00+00:00,2026-09-09T00:51:18+00:00,south,central,7.09,3378,completed,15.03
T000204,V029,2026-09-05T02:24:00+00:00,2026-09-05T03:17:13+00:00,north,west,6.88,3193,in_progress,18.49
T000205,V019,2026-09-11T10:35:00+00:00,2026-09-11T11:20:40+00:00,west,south,9.85,2740,cancelled,62.9
T000206,V024,2026-09-12T00:08:00+00:00,2026-09-12T00:25:14+00:00,central,west,8.58,1034,cancelled,51.47
T000207,V027,2026-09-12T18:39:00+00:00,2026-09-12T19:19:00+00:00,south,south,14.52,2400,completed,57.25
T000208,V031,2026-09-02T12:29:00+00:00,2026-09-02T13:16:46+00:00,east,central,16.85,2866,in_progress,55.6
T000209,V006,2026-09-04T04:05:00+00:00,2026-09-04T04:28:27+00:00,south,east,8.36,1407,in_progress,12.99
T000210,V015,2026-09-11T06:55:00+00:00,2026-09-11T07:05:15+00:00,west,east,16.78,615,cancelled,7.25
T000211,V016,2026-09-12T18:09:00+00:00,2026-09-12T18:38:31+00:00,west,north,7.06,1771,completed,23.44
T000212,V022,2026-09-03T14:06:00+00:00,2026-09-03T14:58:47+00:00,south,south,1.17,3167,cancelled,46.46
T000213,V031,2026-09-04T11:47:00+00:00,2026-09-04T12:42:48+00:00,west,central,0.59,3348,completed,5.16
T000214,V036,2026-09-06T05:46:00+00:00,2026-09-06T06:00:12+00:00,central,central,7.91,852,cancelled,18.5
T000215,V016,2026-09-04T02:32:00+00:00,2026-09-04T02:39:15+00:00,west,central,8.5,435,completed,55.04
T000216,V035,2026-09-12T16:58:00+00:00,2026-09-12T17:42:44+00:00,north,central,10.56,2684,in_progress,12.76
T000217,V040,2026-09-11T02:25:00+00:00,2026-09-11T02:29:06+00:00,east,south,10.49,246,completed,44.53
T000218,V024,2026-09-03T06:45:00+00:00,2026-09-03T07:24:44+00:00,north,central,10.02,2384,in_progress,37.8
T000219,V003,2026-09-10T05:14:00+00:00,2026-09-10T05:50:05+00:00,west,east,4.94,2165,completed,25.78
T000220,V016,2026-09-02T20:53:00+00:00,2026-09-02T21:20:32+00:00,north,central,13.37,1652,cancelled,12.14
T000221,V022,2026-09-09T08:24:00+00:00,2026-09-09T09:05:16+00:00,south,west,17.66,2476,cancelled,42.54
T000222,V030,2026-09-04T09:38:00+00:00,2026-09-04T09:46:18+00:00,north,east,4.03,498,completed,58.03
T000223,V033,2026-09-08T12:21:00+00:00,2026-09-08T12:46:10+00:00,west,central,8.78,1510,completed,49.95
T000224,V023,2026-09-05T16:22:00+00:00,2026-09-05T16:45:31+00:00,north,east,5.28,1411,cancelled,30.65
T000225,V029,2026-09-10T10:27:00+00:00,2026-09-10T11:21:44+00:00,west,east,17.54,3284,cancelled,46.22
T000226,V034,2026-09-09T16:37:00+00:00,2026-09-09T17:35:25+00:00,east,north,13.22,3505,completed,30.27
T000227,V019,2026-09-05T10:33:00+00:00,2026-09-05T11:14:14+00:00,east,north,1.9,2474,in_progress,22.03
T000228,V028,2026-09-11T11:31:00+00:00,2026-09-11T12:16:08+00:00,south,west,6.65,2708,completed,48.34
T000229,V028,2026-09-09T08:32:00+00:00,2026-09-09T09:17:58+00:00,east,north,1.81,2758,in_progress,28.78
T000230,V011,2026-09-13T00:12:00+00:00,2026-09-13T01:10:41+00:00,north,south,15.35,3521,in_progress,51.66
T000231,V005,2026-09-02T03:00:00+00:00,2026-09-02T03:12:37+00:00,south,east,6.84,757,in_progress,5.98
